"'1 ","'2 ","'3 ","'4 ","'5 ","'6 ","'7 ","'8 ","'9 ","'10 ","'11 ","'12 ","'13 ","'14 ","'15 ","'16 ","'17 ","'18 ","'19 ","'20 ","'21 ","'22 ",
"'1 ","'Bjäre härad: Västra Karup s:n ","'Glimminge Elektricitets- verk, Glimminge pr V. Karup ","'Vatten- turbin ","'20 ","'6 ","'20 ","'Likstrom ","'- ","'220 ","'- ","'GArds- ","'220 ","'2 ","'","'11 ","'200 ","'","'5 ","'10 ","'1918 ","'40 ",
"'2 ","'Bâstad koping ","'Bâstads Andelselektrici- tetsforening, Bâstad ","'Ab. fran citetsverk, ","'Angelholms ","'stads Angelholm ","'elektri- ","'Trefas ","'50 ","'20 000 ","'125 ","'Bygde- Orts- Gards- ","'20 000 3 000 220 ","'16 5 4 ","'145 ","'365 ","'50 ","'","'290 ","'123 ","'1917 ","'225 ",
"'3 ","'Grevie s:n ","'Grevie Andelselektrici- tetsforening, Grevie ","'Ab. fran förening, ","'Bâstads Bâstad ","'Andelselektricitets- ","'","'","'50 ","'20 000 ","'20 ","'Gards- ","'500 & 220 ","'1 & 1 ","'2 ","'10 ","'18 ","'- ","'3 ","'8 ","'1918 ","'22 ",
"'4 ","'"" ","'Sex sma elektricitetsverk vid befintliga vatten- kvarnar och sagar ","'Vattenhjul ","'- ","'c:a 1.5 ","'10 ","'Likstrom ","'- ","'220 ","'- ","'GArds- ","'220 ","'1 ","'- ","'2 ","'30 ","'- ","'1 ","'2 ","'1918 ","'10 ",
"'5 ","'Forslov s:n ","'Forslovs Andelselektrici- tetsforening, Forslov ","'Ab. fran forening, ","'Bastads Bâstad ","'Andelselektricitets- ","'","'Trefas ","'50 ","'20 000 ","'40 ","'Orts- Gards- ","'3 000 500 & 220 ","'6 4 & 4 ","'80 ","'101 ","'500 ","'300 ","'60 ","'40 ","'1917 ","'95 ",
"'6 ","'Hjärnarps s:n ","'Hjärnarps Andelselektri- citetsforening, Hjärnarp ","'Ab. fran citetsverk, ","'Angelholms ","'stads Angelholm ","'elektri- ","'","'50 ","'20 000 ","'20 ","'Bygde- Gards. ","'20000 500 & 220 ","'3 4 & 2 ","'20 ","'38 ","'350 ","'400 ","'31 ","'20 ","'1918 ","'50 ",
"'7 ","'Barkâkra s:n ","'Vejby med omnejds Ener- giförening, Barkâkra ","'","'D:o ","'d:o ","'","'","'50 ","'20 000 ","'40 ","'Bygde- Orts- Gards- ","'20 000 1500 380 ","'1:5 8 9 ","'46 ","'78 ","'150 ","'500 ","'40 ","'30 ","'1919 ","'91 ",
"'8 ","'","'Skaftarps kvarn, Bark- ákra ","'Vatten- turbin ","'11 ","'2 ","'10 ","'Likstrom ","'- ","'220 ","'- ","'Gards- ","'220 ","'2 ","'- ","'10 ","'200 ","'- ","'4 ","'8 ","'1918 ","'20 ",
"'9 ","'","'Angelholms stadselektri- citetsverk, Angelholm, Barkakraomradet ","'Ab. fran Malmo ","'Sydsvenska ","'Kraft ","'A.-B. ","'Trefas ","'50 ","'20 000 ","'150 ","'Bygde- Gards- ","'20 000 500 & 220 ","'12 4 & 4 ","'- ","'110 ","'300 ","'800 ","'60 ","'100 ","'1917 ","'80 ",
"'10 ","'"" ","'Skaldervikens Andels- elektricitetsförening, ","'Ab. fran citetsverk, ","'Ängelholms ","'stads Angelholm ","'elektri- ","'","'50 ","'3 000 ","'- ","'Orts- Gards- ","'000 380 & 220 ","'9 4 & 3 ","'53.5 ","'55 ","'20 ","'250 ","'23 ","'25 ","'1916 ","'45 ",
"'11 ","'Ängelholm stad Södra Asbo härad: ","'Skalderviken Angelholmsstads elektri- citetsverk, Ängelholm ","'Ab. fran Malmo ","'Sydsvenska ","'Kraft ","'A.-B., ","'","'50 ","'20 000 ","'(400 ","'Orts- Gards- ","'3 000 500 & 200 ","'13 4 & 8 ","'830 10 ","'1000 ","'50 ","'100 ","'1050 ","'337 ","'1910 ","'251 ",
"'12 ","'Strovelstorp s:n ","'Valinge Elektriska An- delsförening, Rögle (Malmohus län) ","'Ab.fran Hoganäs ","'Hoganas ","'-Billesholms - ","'A.-B.. ","'","'50 ","'4 000 ","'60 ","'Orts. ","'4 000 & 1500 ","'1 & 2 ","'10 ","'42 ","'- ","'150 ","'10 ","'30 ","'1919 ","'30 ",
"'13 ","'","'Strovelstorps Elektrici- tetsforening, Hasslarp ","'Ab. fran forening, ","'Ausas Spannarp. ","'Andelselektricitets- ","'","'","'50 ","'3 000 ","'- ","'Orts- Gards- ","'3 000 380 ","'6 10 ","'30 ","'95 ","'50 ","'470 ","'42 ","'30 ","'1916 ","'66 ",
"'14 ","'","'Kattarps Energiförening, Kattarp(Malmöhuslän) ","'Ab.fran Hoganas ","'","'Höganäs-BillesholmsA ","'B., ","'","'50 ","'4000 ","'- ","'Orts- Gards- ","'4 000 500 & 220 ","'-- - ","'- ","'20 ","'- ","'30 ","'1 ","'15 ","'1917 ","'",
"'15 ","'Hoja s:n ","'Hoja Andelselektricitets- förening, Angelholm ","'Ab. fran citetsverk, ","'Angelholms ","'stads Angelholm ","'elektri- ","'","'50 ","'3 000 ","'- ","'Orts- Gards- ","'000 500 & 220 ","'2 4 3 ","'36 4 ","'60 ","'60 ","'200 ","'20 ","'25 ","'1916 ","'40 ",
"'16 ","'","'Mardals Elektriska fore- ning, Angelholm ","'Ab. fran förening, ","'Höja Angelholm ","'Andelselektricitets- ","'","'","'50 ","'3 000 ","'- ","'Orts- Gards- ","'000 500 & 220 ","'2 2 ","'20 ","'30 ","'50 ","'50 ","'10 ","'15 ","'1916 ","'20 ",
